17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[15]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:43	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[15]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[16]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[16]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[17]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[17]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[18]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[18]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:44	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[19]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
